City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Angola,AO,-12.5,18.5,64.24,93,100,1.25,light rain
266,Juanjui,PE,-7.1779,-76.7314,99.45,31,6,3.06,clear sky
267,Manhattan,US,40.7834,-73.9662,61.18,57,90,4.61,overcast clouds
268,Huesca,ES,42.1362,-0.4087,57.11,70,0,1.99,clear sky
269,Hithadhoo,MV,-0.6,73.0833,81.25,77,63,14.29,light rain
270,Baghdad,IQ,33.3406,44.4009,66.11,32,0,4.61,clear sky
271,Valparaiso,CL,-33.0393,-71.6273,87.44,30,0,27.63,clear sky
272,Padang,ID,-0.9492,100.3543,75.69,95,100,2.93,overcast clouds
273,Hokitika,NZ,-42.7167,170.9667,58.19,90,100,4.85,light rain
274,Kahului,US,20.8947,-156.47,80.62,80,40,18.41,scattered clouds
275,Cayenne,GF,4.9333,-52.3333,84.24,84,75,5.99,broken clouds
276,Vanavara,RU,60.34,102.2797,36.86,96,100,11.68,light rain
277,Georgetown,MY,5.4112,100.3354,78.73,93,20,1.14,few clouds
278,Ust-Omchug,RU,61.15,149.6333,7.9,97,100,3.06,light snow
279,West Bay,KY,19.3667,-81.4167,89.67,71,75,5.01,broken clouds
280,Yate,GB,51.5407,-2.4184,57.02,94,32,1.99,scattered clouds
281,Weligama,LK,5.9667,80.4167,77.72,88,100,8.23,overcast clouds
282,Mangochi,MW,-14.4782,35.2645,85.55,32,5,4.59,clear sky
283,Coruripe,BR,-10.1256,-36.1756,79.81,74,89,15.5,overcast clouds
284,Taungdwingyi,MM,20.0167,95.55,73.27,91,100,2.35,overcast clouds
285,Limon,CR,10.0,-83.0333,84.09,74,0,10.36,clear sky
286,Ixtapa,MX,20.7,-105.2,87.22,70,75,8.05,broken clouds
287,Kavieng,PG,-2.5744,150.7967,82.31,75,78,12.37,broken clouds
288,Kjollefjord,NO,70.9457,27.3465,30.25,86,20,5.75,few clouds
289,Daoukro,CI,7.0591,-3.9631,73.69,96,100,1.97,overcast clouds
290,Pevek,RU,69.7008,170.3133,6.55,94,100,2.37,overcast clouds
291,Liliongan,PH,7.3628,124.7928,72.36,92,47,2.82,scattered clouds
292,Gushikawa,JP,26.3544,127.8686,72.63,94,1,0.0,clear sky
293,Pasighat,IN,28.0667,95.3333,67.87,81,3,3.44,clear sky
294,Arica,CL,-18.475,-70.3042,72.95,68,0,14.97,clear sky
295,Nizwa,OM,22.9333,57.5333,80.11,39,0,1.28,clear sky
296,Mangai,CD,-4.05,19.5333,72.37,93,100,0.38,overcast clouds
297,Komsomolskiy,UZ,40.4272,71.7189,45.32,57,0,6.91,clear sky
298,Vila,PT,42.0304,-8.1588,50.94,91,88,1.05,overcast clouds
299,Saint George,US,37.1041,-113.5841,68.63,38,1,1.01,clear sky
300,Barranca,PE,-10.75,-77.7667,66.67,70,15,9.64,few clouds
301,Vorgashor,RU,67.5833,63.95,15.42,93,49,6.98,scattered clouds
302,Newport,GB,51.5877,-2.9984,57.74,87,10,11.97,clear sky
303,Bom Conselho,BR,-9.1697,-36.6797,78.31,60,66,14.45,broken clouds
304,Sotuta,MX,20.6,-89.0167,97.36,36,67,5.68,broken clouds
305,Peterhead,GB,57.5058,-1.7981,54.45,83,100,20.8,overcast clouds
306,Iqaluit,CA,63.7506,-68.5145,31.73,74,90,5.99,overcast clouds
307,Americus,US,32.0724,-84.2327,81.55,39,100,4.61,overcast clouds
308,Snasa,NO,64.2457,12.3778,40.41,100,100,3.4,light rain
309,Lodja,CD,-3.4833,23.4333,70.09,99,62,2.53,broken clouds
310,Lieksa,FI,63.3167,30.0167,31.77,81,98,9.08,overcast clouds
311,Weston,US,26.1004,-80.3998,87.03,77,75,10.36,broken clouds
312,Impfondo,CG,1.6381,18.0667,71.73,89,100,2.33,overcast clouds
313,Moron,AR,-34.6534,-58.6198,78.49,25,0,7.0,clear sky
314,Termiz,UZ,37.2242,67.2783,46.49,46,0,2.3,clear sky
315,Port Lincoln,AU,-34.7333,135.8667,51.8,75,0,12.26,clear sky
316,Ponta Delgada,PT,37.7333,-25.6667,66.92,72,20,8.05,few clouds
317,Caravelas,BR,-17.7125,-39.2481,79.03,81,1,11.5,clear sky
318,Maceio,BR,-9.6658,-35.7353,87.24,66,0,11.5,clear sky
319,Cherskiy,RU,68.75,161.3,-15.11,99,24,4.72,few clouds
320,Sao Desiderio,BR,-12.3633,-44.9733,85.42,50,100,4.54,overcast clouds
321,Huarmey,PE,-10.0681,-78.1522,69.13,71,4,10.85,clear sky
322,Beaverlodge,CA,55.2166,-119.4361,38.55,67,3,10.98,clear sky
323,Adre,TD,13.4667,22.2,82.11,22,9,14.97,clear sky
324,Kazerun,IR,29.6195,51.6541,66.16,26,0,2.19,clear sky
325,Qitaihe,CN,45.8,130.85,40.23,67,0,5.3,clear sky
326,Hays,US,30.0502,-98.0336,85.3,73,90,1.99,overcast clouds
327,Olinda,BR,-8.0089,-34.8553,83.93,65,20,9.22,few clouds
328,Necochea,AR,-38.5473,-58.7368,65.3,44,3,10.36,clear sky
329,Olafsvik,IS,64.8945,-23.7142,42.6,90,100,18.39,light rain
330,Store Heddinge,DK,55.3097,12.3889,49.68,70,17,18.39,few clouds
331,Laguna,US,38.421,-121.4238,65.25,90,90,1.01,heavy intensity rain
332,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,13.8,scattered clouds
333,Okhotsk,RU,59.3833,143.3,17.15,82,27,8.59,scattered clouds
334,Zhezkazgan,KZ,47.8043,67.7144,46.18,45,41,6.85,scattered clouds
335,Sadovoye,RU,47.7764,44.5089,47.8,55,100,7.78,light rain
336,Bad Wildungen,DE,51.1196,9.1248,45.88,87,0,1.14,clear sky
337,Mango,US,27.9797,-82.3065,86.34,81,90,1.01,mist
338,Ler,SS,8.3018,30.1418,79.23,50,8,4.07,clear sky
339,Shimoda,JP,34.6667,138.95,58.1,64,97,14.09,overcast clouds
340,Talara,PE,-4.5772,-81.2719,75.96,64,0,13.8,clear sky
341,Nanortalik,GL,60.1432,-45.2371,32.27,91,100,3.94,light snow
342,Kirensk,RU,57.7853,108.1119,37.81,96,100,12.24,light rain
343,Whitehaven,GB,54.549,-3.5841,55.65,94,63,15.99,broken clouds
344,Dumai,ID,1.6833,101.45,73.2,97,96,2.35,overcast clouds
